_team,_conference,_position_group,_average_rating,_total_rating,_commits,_average_stars,discriminator
Appalachian State,Sun Belt,Running Back,0.782680004835129,7.8268,10.0,2.4,
Appalachian State,Sun Belt,Special Teams,0.797649999459585,19.1436,24.0,2.5,
Arizona,Pac-12,Defensive Back,0.840008000532786,63.0006,75.0,3.0,
Arizona,Pac-12,Defensive Line,0.837142425053047,55.2514,66.0,2.9242424242424243,
Arizona,Pac-12,Linebacker,0.835463413378087,34.254,41.0,2.926829268292683,
Arizona,Pac-12,Offensive Line,0.832096725213723,50.7579,61.0,2.8852459016393444,
Arizona,Pac-12,Quarterback,0.851752174937207,19.5903,23.0,3.0434782608695654,
Arizona,Pac-12,Receiver,0.838208477375871,49.4543,59.0,2.915254237288136,
Arizona,Pac-12,Running Back,0.856682857445308,29.9839,35.0,3.085714285714286,
Arizona,Pac-12,Special Teams,0.827261542662596,32.2632,39.0,2.8205128205128207,
Arizona State,Pac-12,Defensive Back,0.843789658669768,48.9398,58.0,3.0172413793103448,
Arizona State,Pac-12,Defensive Line,0.853489289326327,47.7954,56.0,3.0892857142857144,
Arizona State,Pac-12,Linebacker,0.847445104636398,43.2197,51.0,3.0,
Arizona State,Pac-12,Offensive Line,0.841374999843538,53.848,64.0,2.96875,
Arizona State,Pac-12,Quarterback,0.868521434920175,24.3186,28.0,3.25,
Arizona State,Pac-12,Receiver,0.852518520973347,46.036,54.0,3.111111111111111,
Arizona State,Pac-12,Running Back,0.867150004093464,22.5459,26.0,3.1538461538461537,
Arizona State,Pac-12,Special Teams,0.874473527950399,29.7321,34.0,3.2941176470588234,
Arkansas,SEC,Defensive Back,0.851183786585524,62.9876,74.0,3.108108108108108,
Arkansas,SEC,Defensive Line,0.85964871599124,67.0526,78.0,3.128205128205128,
Arkansas,SEC,Linebacker,0.849160001277924,42.458,50.0,3.0,
Arkansas,SEC,Offensive Line,0.856984059879745,59.1319,69.0,3.072463768115942,
Arkansas,SEC,Quarterback,0.863520002365112,21.588,25.0,3.32,
Arkansas,SEC,Receiver,0.863468352752396,68.214,79.0,3.189873417721519,
Arkansas,SEC,Running Back,0.871165625751019,27.8773,32.0,3.1875,
Arkansas,SEC,Special Teams,0.843544186547745,36.2724,43.0,2.9767441860465116,
Arkansas State,Sun Belt,Defensive Back,0.781910455048974,52.388,67.0,2.417910447761194,
Arkansas State,Sun Belt,Defensive Line,0.770541071891785,43.1503,56.0,2.3214285714285716,
Arkansas State,Sun Belt,Linebacker,0.763006898863562,22.1272,29.0,2.2413793103448274,
Arkansas State,Sun Belt,Offensive Line,0.774016671379407,46.441,60.0,2.3,
Arkansas State,Sun Belt,Quarterback,0.783804006576538,19.5951,25.0,2.4,
Arkansas State,Sun Belt,Receiver,0.77034042617108,36.206,47.0,2.3404255319148937,
Arkansas State,Sun Belt,Running Back,0.77973684668541,29.63,38.0,2.4210526315789473,
Arkansas State,Sun Belt,Special Teams,0.770293547261146,23.8791,31.0,2.2903225806451615,
Army,FBS Independents,Defensive Back,0.767978961530485,58.3664,76.0,2.0921052631578947,
Army,FBS Independents,Defensive Line,0.771338168727724,58.6217,76.0,2.1710526315789473,
Army,FBS Independents,Linebacker,0.763859385003646,73.3305,96.0,2.1145833333333335,
Army,FBS Independents,Offensive Line,0.767768129058506,52.976,69.0,2.072463768115942,
Army,FBS Independents,Quarterback,0.760815394230378,29.6718,39.0,2.051282051282051,
Army,FBS Independents,Receiver,0.762468531175896,41.1733,54.0,2.055555555555556,
Army,FBS Independents,Running Back,0.774073596270579,41.0259,53.0,2.188679245283019,
Army,FBS Independents,Special Teams,0.763126574456692,48.8401,64.0,2.0625,
Auburn,SEC,Defensive Back,0.879374197413844,54.5212,62.0,3.338709677419355,
Auburn,SEC,Defensive Line,0.889834066013714,80.9749,91.0,3.4725274725274726,
Auburn,SEC,Linebacker,0.875101723547639,50.7559,58.0,3.3620689655172415,
Auburn,SEC,Offensive Line,0.881816921784328,57.3181,65.0,3.3384615384615386,
Auburn,SEC,Quarterback,0.884575001895428,21.2298,24.0,3.5416666666666665,
Auburn,SEC,Receiver,0.882639999389648,66.198,75.0,3.3333333333333335,
Auburn,SEC,Running Back,0.887861542212657,34.6266,39.0,3.58974358974359,
Auburn,SEC,Special Teams,0.867705454609611,47.7238,55.0,3.2545454545454544,
Ball State,Mid-American,Defensive Back,0.774765081821926,48.8102,63.0,2.253968253968254,
Ball State,Mid-American,Defensive Line,0.783259677310144,48.5621,62.0,2.3870967741935485,
Ball State,Mid-American,Linebacker,0.772647371417598,29.3606,38.0,2.236842105263158,
Ball State,Mid-American,Offensive Line,0.778306355552068,49.0333,63.0,2.253968253968254,
Ball State,Mid-American,Quarterback,0.80497060102575,13.6845,17.0,2.588235294117647,
Ball State,Mid-American,Receiver,0.779983827296425,53.0389,68.0,2.3088235294117645,
Ball State,Mid-American,Running Back,0.782964301960809,21.923,28.0,2.2857142857142856,
Ball State,Mid-American,Special Teams,0.771288461410082,20.0535,26.0,2.230769230769231,
Baylor,Big 12,Defensive Back,0.833432860033853,58.3403,70.0,2.8857142857142857,
Baylor,Big 12,Defensive Line,0.835335490203673,51.7908,62.0,2.903225806451613,
Baylor,Big 12,Linebacker,0.819385718326179,40.1499,49.0,2.7346938775510203,
Baylor,Big 12,Offensive Line,0.830729230550619,53.9974,65.0,2.8615384615384616,
Baylor,Big 12,Quarterback,0.846061905225118,17.7673,21.0,3.0476190476190474,
Baylor,Big 12,Receiver,0.844174634164839,56.5597,67.0,2.970149253731343,
Baylor,Big 12,Running Back,0.839211112923092,15.1058,18.0,2.944444444444444,
Baylor,Big 12,Special Teams,0.843315387383485,32.8893,39.0,3.0,
Boise State,Mountain West,Defensive Back,0.816630002856255,48.9978,60.0,2.7333333333333334,
Boise State,Mountain West,Defensive Line,0.806696304568538,43.5616,54.0,2.648148148148148,
Boise State,Mountain West,Linebacker,0.815773334768083,36.7098,45.0,2.6666666666666665,
Boise State,Mountain West,Offensive Line,0.80088772690087,45.6506,57.0,2.5789473684210527,
Boise State,Mountain West,Quarterback,0.828575010101,19.8858,24.0,2.8333333333333335,
Boise State,Mountain West,Receiver,0.815885717906649,51.4008,63.0,2.7142857142857144,
Boise State,Mountain West,Running Back,0.815682613331339,18.7607,23.0,2.6956521739130435,
Boise State,Mountain West,Special Teams,0.818581086558265,30.2875,37.0,2.72972972972973,
Boston College,ACC,Defensive Back,0.834950822298644,50.932,61.0,2.9672131147540983,
Boston College,ACC,Defensive Line,0.835006783574314,49.2654,59.0,2.9661016949152543,
Boston College,ACC,Linebacker,0.842085417360067,40.4201,48.0,2.9583333333333335,
Boston College,ACC,Offensive Line,0.841658571788243,58.9161,70.0,3.0142857142857142,
Boston College,ACC,Quarterback,0.830560714006424,23.2557,28.0,2.9285714285714284,
Boston College,ACC,Receiver,0.83325077020205,54.1613,65.0,2.9384615384615387,
Boston College,ACC,Running Back,0.837288572107043,29.3051,35.0,2.9714285714285715,
Boston College,ACC,Special Teams,0.81828974149166,31.9133,39.0,2.717948717948718,
Bowling Green,Mid-American,Defensive Back,0.78120811243315,57.8094,74.0,2.364864864864865,
Bowling Green,Mid-American,Defensive Line,0.773004112994834,56.4293,73.0,2.287671232876712,
Bowling Green,Mid-American,Linebacker,0.784967393978782,36.1085,46.0,2.3043478260869565,
Bowling Green,Mid-American,Offensive Line,0.778298343221347,46.6979,60.0,2.25,
Bowling Green,Mid-American,Quarterback,0.802716672420502,19.2652,24.0,2.5833333333333335,
Bowling Green,Mid-American,Receiver,0.792894207912943,54.7097,69.0,2.4782608695652173,
Bowling Green,Mid-American,Running Back,0.791600003838539,25.3312,32.0,2.4375,
Bowling Green,Mid-American,Special Teams,0.763338887029224,13.7401,18.0,2.1666666666666665,
Buffalo,Mid-American,Defensive Back,0.775340989964907,47.2958,61.0,2.2459016393442623,
Buffalo,Mid-American,Defensive Line,0.77087547194283,40.8564,53.0,2.2264150943396226,
Buffalo,Mid-American,Linebacker,0.76674474226801,29.1363,38.0,2.210526315789474,
Buffalo,Mid-American,Offensive Line,0.764442106088003,43.5732,57.0,2.1578947368421053,
Buffalo,Mid-American,Quarterback,0.78613478463629,18.0811,23.0,2.5217391304347827,
Buffalo,Mid-American,Receiver,0.772782097111887,51.7764,67.0,2.208955223880597,
Buffalo,Mid-American,Running Back,0.777376003265381,19.4344,25.0,2.28,
Buffalo,Mid-American,Special Teams,0.780205262334723,14.8239,19.0,2.263157894736842,
BYU,FBS Independents,Defensive Back,0.806715389856925,41.9492,52.0,2.6538461538461537,
BYU,FBS Independents,Defensive Line,0.822323192720828,56.7403,69.0,2.782608695652174,
BYU,FBS Independents,Linebacker,0.812896301349004,43.8964,54.0,2.685185185185185,
BYU,FBS Independents,Offensive Line,0.81962857265321,51.6366,63.0,2.6984126984126986,
BYU,FBS Independents,Quarterback,0.844474998116493,16.8895,20.0,3.0,
BYU,FBS Independents,Receiver,0.815779718799867,56.2888,69.0,2.7246376811594204,
BYU,FBS Independents,Running Back,0.812132003307342,20.3033,25.0,2.72,
BYU,FBS Independents,Special Teams,0.804863165867956,30.5848,38.0,2.6315789473684212,
California,Pac-12,Defensive Back,0.858246297748001,46.3453,54.0,3.111111111111111,
California,Pac-12,Defensive Line,0.860493849791013,55.9321,65.0,3.1846153846153844,
California,Pac-12,Linebacker,0.858306119636614,42.057,49.0,3.1020408163265305,
California,Pac-12,Offensive Line,0.852652728557587,46.8959,55.0,3.109090909090909,
California,Pac-12,Quarterback,0.883835002779961,17.6767,20.0,3.5,
California,Pac-12,Receiver,0.867545761294284,51.1852,59.0,3.254237288135593,
California,Pac-12,Running Back,0.866853130981326,27.7393,32.0,3.1875,
California,Pac-12,Special Teams,0.83412580913113,25.8579,31.0,2.935483870967742,
Central Michigan,Mid-American,Defensive Back,0.769905338287354,57.7429,75.0,2.2666666666666666,
Central Michigan,Mid-American,Defensive Line,0.782275348493498,57.1061,73.0,2.287671232876712,
Central Michigan,Mid-American,Linebacker,0.776095744143141,36.4765,47.0,2.2978723404255317,
Central Michigan,Mid-American,Offensive Line,0.778796502372675,44.3914,57.0,2.2982456140350878,
Central Michigan,Mid-American,Quarterback,0.795013639059934,17.4903,22.0,2.590909090909091,
Central Michigan,Mid-American,Receiver,0.773501281554882,60.3331,78.0,2.3076923076923075,
Central Michigan,Mid-American,Running Back,0.778859462286975,28.8178,37.0,2.3513513513513513,
Central Michigan,Mid-American,Special Teams,0.783542856574059,21.9392,28.0,2.392857142857143,
Charlotte,Conference USA,Defensive Back,0.782883996963501,19.5721,25.0,2.28,
Charlotte,Conference USA,Defensive Line,0.777659995555878,19.4415,25.0,2.32,
Charlotte,Conference USA,Linebacker,0.788923533523784,13.4117,17.0,2.411764705882353,
Charlotte,Conference USA,Offensive Line,0.782479171951612,18.7795,24.0,2.3333333333333335,
Charlotte,Conference USA,Quarterback,0.783037506043911,6.2643,8.0,2.25,
Charlotte,Conference USA,Receiver,0.788596772378491,24.4465,31.0,2.4838709677419355,
Charlotte,Conference USA,Running Back,0.800985702446529,11.2138,14.0,2.5,
Charlotte,Conference USA,Special Teams,0.760599993169308,6.0848,8.0,2.25,
Cincinnati,American Athletic,Defensive Back,0.816841274972946,51.461,63.0,2.746031746031746,
Cincinnati,American Athletic,Defensive Line,0.809807468706103,54.2571,67.0,2.611940298507463,
Cincinnati,American Athletic,Linebacker,0.816479077172834,35.1086,43.0,2.744186046511628,
Cincinnati,American Athletic,Offensive Line,0.802175004894917,41.7131,52.0,2.5961538461538463,
Cincinnati,American Athletic,Quarterback,0.821192308114125,21.351,26.0,2.769230769230769,
Cincinnati,American Athletic,Receiver,0.816740282707744,58.8053,72.0,2.805555555555556,
Cincinnati,American Athletic,Running Back,0.794622582774008,24.6333,31.0,2.5161290322580645,
Cincinnati,American Athletic,Special Teams,0.821144123287762,27.9189,34.0,2.764705882352941,
Clemson,ACC,Defensive Back,0.888079366040608,55.949,63.0,3.4126984126984126,
Clemson,ACC,Defensive Line,0.895137881690806,59.0791,66.0,3.5454545454545454,
Clemson,ACC,Linebacker,0.874907142349652,48.9948,56.0,3.392857142857143,
Clemson,ACC,Offensive Line,0.873062669436137,65.4797,75.0,3.32,
Clemson,ACC,Quarterback,0.894513036893762,20.5738,23.0,3.5652173913043477,
Clemson,ACC,Receiver,0.894241789383675,59.9142,67.0,3.537313432835821,
Clemson,ACC,Running Back,0.895644825080345,25.9737,29.0,3.5517241379310347,
Clemson,ACC,Special Teams,0.84908378607518,31.4161,37.0,3.189189189189189,
Coastal Carolina,Sun Belt,Defensive Back,0.790694124558393,13.4418,17.0,2.411764705882353,
Coastal Carolina,Sun Belt,Defensive Line,0.789489479441392,15.0003,19.0,2.473684210526316,
Coastal Carolina,Sun Belt,Linebacker,0.786449998617172,12.5832,16.0,2.375,
Coastal Carolina,Sun Belt,Offensive Line,0.771645829081535,18.5195,24.0,2.125,
Coastal Carolina,Sun Belt,Quarterback,0.779664286545345,10.9153,14.0,2.2857142857142856,
Coastal Carolina,Sun Belt,Receiver,0.789781825108962,26.0628,33.0,2.3636363636363638,
Coastal Carolina,Sun Belt,Running Back,0.787681828845631,8.6645,11.0,2.3636363636363638,
Coastal Carolina,Sun Belt,Special Teams,0.775089474100816,14.7267,19.0,2.3157894736842106,
Colorado,Pac-12,Defensive Back,0.827353847714571,43.0224,52.0,2.8461538461538463,
Colorado,Pac-12,Defensive Line,0.833775411863796,50.8603,61.0,2.901639344262295,
Colorado,Pac-12,Linebacker,0.839524003267288,41.9762,50.0,2.94,
Colorado,Pac-12,Offensive Line,0.83449200630188,62.5869,75.0,2.96,
Colorado,Pac-12,Quarterback,0.851350004022772,18.7297,22.0,2.9545454545454546,
Colorado,Pac-12,Receiver,0.848714711911538,57.7126,68.0,3.073529411764706,
Colorado,Pac-12,Running Back,0.846507899071041,32.1673,38.0,3.1052631578947367,
Colorado,Pac-12,Special Teams,0.819693478553192,37.7059,46.0,2.782608695652174,
Colorado State,Mountain West,Defensive Back,0.791803397364536,46.7164,59.0,2.4745762711864407,
Colorado State,Mountain West,Defensive Line,0.791475394138923,51.4459,65.0,2.430769230769231,
Colorado State,Mountain West,Linebacker,0.789095840106408,37.8766,48.0,2.5208333333333335,
Colorado State,Mountain West,Offensive Line,0.790432311938359,51.3781,65.0,2.4923076923076923,
Colorado State,Mountain West,Quarterback,0.809420006275177,20.2355,25.0,2.64,
Colorado State,Mountain West,Receiver,0.792712703583732,49.9409,63.0,2.555555555555556,
Colorado State,Mountain West,Running Back,0.796464103918809,31.0621,39.0,2.4871794871794872,
Colorado State,Mountain West,Special Teams,0.791038465805543,30.8505,39.0,2.4871794871794872,
Connecticut,American Athletic,Defensive Back,0.788161435297557,55.1713,70.0,2.4285714285714284,
Connecticut,American Athletic,Defensive Line,0.78870769739151,51.266,65.0,2.5076923076923077,
Connecticut,American Athletic,Linebacker,0.795130234818126,34.1906,43.0,2.604651162790698,
Connecticut,American Athletic,Offensive Line,0.784815718446459,54.9371,70.0,2.442857142857143,
Connecticut,American Athletic,Quarterback,0.798245454376394,17.5614,22.0,2.590909090909091,
Connecticut,American Athletic,Receiver,0.792276197009616,49.9134,63.0,2.4603174603174605,
Connecticut,American Athletic,Running Back,0.798168971620757,23.1469,29.0,2.4827586206896552,
Connecticut,American Athletic,Special Teams,0.783939028658518,32.1415,41.0,2.3902439024390243,
Duke,ACC,Defensive Back,0.817592426682964,53.9611,66.0,2.696969696969697,
Duke,ACC,Defensive Line,0.826730164270552,52.084,63.0,2.8412698412698414,
Duke,ACC,Linebacker,0.81040189063774,42.9513,53.0,2.641509433962264,
Duke,ACC,Offensive Line,0.824298533446648,56.0523,68.0,2.7794117647058822,
Duke,ACC,Quarterback,0.84268095379784,17.6963,21.0,2.9523809523809526,
Duke,ACC,Receiver,0.825932860374451,57.8153,70.0,2.857142857142857,
Duke,ACC,Running Back,0.817878578390394,22.9006,28.0,2.6785714285714284,
Duke,ACC,Special Teams,0.805324391620915,33.0183,41.0,2.707317073170732,
East Carolina,American Athletic,Defensive Back,0.789911596671395,54.5039,69.0,2.5072463768115942,
East Carolina,American Athletic,Defensive Line,0.781483586154767,52.3594,67.0,2.417910447761194,
East Carolina,American Athletic,Linebacker,0.781685715062278,27.359,35.0,2.4571428571428573,
East Carolina,American Athletic,Offensive Line,0.780334787092347,53.8431,69.0,2.391304347826087,
East Carolina,American Athletic,Quarterback,0.807807147502899,22.6186,28.0,2.6785714285714284,
East Carolina,American Athletic,Receiver,0.786761408312279,44.8454,57.0,2.43859649122807,
East Carolina,American Athletic,Running Back,0.813750004226511,17.9025,22.0,2.6818181818181817,
East Carolina,American Athletic,Special Teams,0.792463334401449,23.7739,30.0,2.3666666666666667,
Eastern Michigan,Mid-American,Defensive Back,0.764022975354581,56.5377,74.0,2.256756756756757,
Eastern Michigan,Mid-American,Defensive Line,0.762881254156431,36.6183,48.0,2.1666666666666665,
Eastern Michigan,Mid-American,Linebacker,0.765131586476376,29.075,38.0,2.1578947368421053,
Eastern Michigan,Mid-American,Offensive Line,0.770143337051074,46.2086,60.0,2.216666666666667,
Eastern Michigan,Mid-American,Quarterback,0.778080770602593,20.2301,26.0,2.269230769230769,
Eastern Michigan,Mid-American,Receiver,0.770048487367052,50.8232,66.0,2.242424242424242,
Eastern Michigan,Mid-American,Running Back,0.765466662970456,25.2604,33.0,2.242424242424242,
Eastern Michigan,Mid-American,Special Teams,0.762966666902815,16.0223,21.0,2.1904761904761907,
Florida,SEC,Defensive Back,0.915163092669987,76.8737,84.0,3.7142857142857144,
Florida,SEC,Defensive Line,0.912683908966766,79.4035,87.0,3.8275862068965516,
Florida,SEC,Linebacker,0.910144682894362,42.7768,47.0,3.7021276595744683,
Florida,SEC,Offensive Line,0.893057749304973,63.4071,71.0,3.4788732394366195,
Florida,SEC,Quarterback,0.922848002910614,23.0712,25.0,3.88,
Florida,SEC,Receiver,0.910583531155306,77.3996,85.0,3.6470588235294117,
Florida,SEC,Running Back,0.913289274488177,25.5721,28.0,3.7142857142857144,
Florida,SEC,Special Teams,0.872488462007963,22.6847,26.0,3.230769230769231,
Florida Atlantic,Conference USA,Defensive Back,0.80305999815464,32.1224,40.0,2.625,
Florida Atlantic,Conference USA,Defensive Line,0.800708695598271,36.8326,46.0,2.5869565217391304,
Florida Atlantic,Conference USA,Linebacker,0.77524838332207,24.0327,31.0,2.3548387096774195,
Florida Atlantic,Conference USA,Offensive Line,0.782724390669567,32.0917,41.0,2.3902439024390243,
Florida Atlantic,Conference USA,Quarterback,0.792954542420127,8.7225,11.0,2.6363636363636362,
Florida Atlantic,Conference USA,Receiver,0.786326824164972,32.2394,41.0,2.4146341463414633,
Florida Atlantic,Conference USA,Running Back,0.789842312152569,20.5359,26.0,2.5384615384615383,
Florida Atlantic,Conference USA,Special Teams,0.791455003619194,15.8291,20.0,2.45,
Florida International,Conference USA,Defensive Back,0.78783051341267,46.482,59.0,2.3559322033898304,
Florida International,Conference USA,Defensive Line,0.7832050015529,46.9923,60.0,2.35,
Florida International,Conference USA,Linebacker,0.798082505166531,31.9233,40.0,2.5,
Florida International,Conference USA,Offensive Line,0.78002631455137,44.4615,57.0,2.2982456140350878,
Florida International,Conference USA,Quarterback,0.791228001117706,19.7807,25.0,2.48,
Florida International,Conference USA,Receiver,0.79094666937987,47.4568,60.0,2.3833333333333333,
Florida International,Conference USA,Running Back,0.802178263664246,18.4501,23.0,2.5652173913043477,
Florida International,Conference USA,Special Teams,0.784714809170476,21.1873,27.0,2.444444444444444,
Florida State,ACC,Defensive Back,0.924796053453496,70.2845,76.0,3.8552631578947367,
Florida State,ACC,Defensive Line,0.909579218982102,70.0376,77.0,3.7142857142857144,
Florida State,ACC,Linebacker,0.920680948666164,58.0029,63.0,3.8412698412698414,
Florida State,ACC,Offensive Line,0.878950702472472,62.4055,71.0,3.323943661971831,
Florida State,ACC,Quarterback,0.916049999495347,21.9852,24.0,3.7083333333333335,
Florida State,ACC,Receiver,0.902055070883986,62.2418,69.0,3.5942028985507246,
Florida State,ACC,Running Back,0.92675666809082,27.8027,30.0,4.0,
Florida State,ACC,Special Teams,0.879285720416478,30.775,35.0,3.4285714285714284,
Fresno State,Mountain West,Defensive Back,0.8064924557254,42.7441,53.0,2.6226415094339623,
Fresno State,Mountain West,Defensive Line,0.780979633331299,42.1729,54.0,2.4074074074074074,
Fresno State,Mountain West,Linebacker,0.790386666191949,35.5674,45.0,2.511111111111111,
Fresno State,Mountain West,Offensive Line,0.789273339509964,47.3564,60.0,2.4166666666666665,
Fresno State,Mountain West,Quarterback,0.819735302644617,13.9355,17.0,2.7058823529411766,
Fresno State,Mountain West,Receiver,0.795075478418818,42.139,53.0,2.4716981132075473,
Fresno State,Mountain West,Running Back,0.796031035225967,23.0849,29.0,2.586206896551724,
Fresno State,Mountain West,Special Teams,0.798603232829802,24.7567,31.0,2.5483870967741935,
Georgia,SEC,Defensive Back,0.900684724251429,64.8493,72.0,3.5416666666666665,
Georgia,SEC,Defensive Line,0.919556792871452,74.4841,81.0,3.814814814814815,
Georgia,SEC,Linebacker,0.917173332969348,55.0304,60.0,3.816666666666667,
Georgia,SEC,Offensive Line,0.89844285590308,75.4692,84.0,3.5476190476190474,
Georgia,SEC,Quarterback,0.924700001011724,21.2681,23.0,3.9565217391304346,
Georgia,SEC,Receiver,0.903423684992288,68.6602,76.0,3.5921052631578947,
Georgia,SEC,Running Back,0.927308576447623,32.4558,35.0,3.9714285714285715,
Georgia,SEC,Special Teams,0.877562068659684,25.4493,29.0,3.413793103448276,
Georgia Southern,Sun Belt,Defensive Back,0.811178573540279,22.713,28.0,2.7142857142857144,
Georgia Southern,Sun Belt,Defensive Line,0.802350007825428,28.8846,36.0,2.5833333333333335,
Georgia Southern,Sun Belt,Linebacker,0.801524996757507,9.6183,12.0,2.5,
Georgia Southern,Sun Belt,Offensive Line,0.792918523152669,21.4088,27.0,2.3333333333333335,
Georgia Southern,Sun Belt,Quarterback,0.796750004092852,9.561,12.0,2.3333333333333335,
Georgia Southern,Sun Belt,Receiver,0.800681821324609,17.615,22.0,2.5454545454545454,
Georgia Southern,Sun Belt,Running Back,0.796477788024478,14.3366,18.0,2.5,
Georgia Southern,Sun Belt,Special Teams,0.791208699993465,18.1978,23.0,2.4782608695652173,
Georgia State,Sun Belt,Defensive Back,0.790041380915149,22.9112,29.0,2.4482758620689653,
Georgia State,Sun Belt,Defensive Line,0.786053852393077,20.4374,26.0,2.269230769230769,
Georgia State,Sun Belt,Linebacker,0.797173912110536,18.335,23.0,2.4782608695652173,
Georgia State,Sun Belt,Offensive Line,0.793336671590805,23.8001,30.0,2.533333333333333,
Georgia State,Sun Belt,Quarterback,0.819850005209446,6.5588,8.0,2.75,
Georgia State,Sun Belt,Receiver,0.785543336470922,23.5663,30.0,2.3666666666666667,
Georgia State,Sun Belt,Running Back,0.783439993858337,7.8344,10.0,2.5,
Georgia State,Sun Belt,Special Teams,0.783350005745888,9.4002,12.0,2.3333333333333335,
Georgia Tech,ACC,Defensive Back,0.838538459631113,54.505,65.0,2.9076923076923076,
Georgia Tech,ACC,Defensive Line,0.843852858883994,59.0697,70.0,3.0,
Georgia Tech,ACC,Linebacker,0.843484616050353,43.8612,52.0,2.923076923076923,
Georgia Tech,ACC,Offensive Line,0.823650006590218,47.7717,58.0,2.8275862068965516,
Georgia Tech,ACC,Quarterback,0.850031820210544,18.7007,22.0,3.0,
Georgia Tech,ACC,Receiver,0.840883335581532,45.4077,54.0,2.925925925925926,
Georgia Tech,ACC,Running Back,0.845977503061295,33.8391,40.0,3.025,
Georgia Tech,ACC,Special Teams,0.839512823483883,32.741,39.0,2.923076923076923,
Hawai'i,Mountain West,Defensive Back,0.784893756111463,37.6749,48.0,2.3958333333333335,
Hawai'i,Mountain West,Defensive Line,0.787490913000974,43.312,55.0,2.4727272727272727,
Hawai'i,Mountain West,Linebacker,0.779079247195766,41.2912,53.0,2.339622641509434,
Hawai'i,Mountain West,Offensive Line,0.777390168338525,47.4208,61.0,2.2950819672131146,
Hawai'i,Mountain West,Quarterback,0.788455012440682,15.7691,20.0,2.45,
Hawai'i,Mountain West,Receiver,0.781984092159705,34.4073,44.0,2.409090909090909,
Hawai'i,Mountain West,Running Back,0.801757145495642,16.8369,21.0,2.619047619047619,
Hawai'i,Mountain West,Special Teams,0.805447374519549,15.3035,19.0,2.5789473684210527,
Houston,American Athletic,Defensive Back,0.799784489746751,46.3875,58.0,2.5517241379310347,
Houston,American Athletic,Defensive Line,0.810883339246114,48.653,60.0,2.6666666666666665,
Houston,American Athletic,Linebacker,0.805171432949248,33.8172,42.0,2.5238095238095237,
Houston,American Athletic,Offensive Line,0.801312861272267,56.0919,70.0,2.5428571428571427,
Houston,American Athletic,Quarterback,0.811852627678921,15.4252,19.0,2.6842105263157894,
Houston,American Athletic,Receiver,0.814195655394292,56.1795,69.0,2.7246376811594204,
Houston,American Athletic,Running Back,0.820536005496979,20.5134,25.0,2.68,
Houston,American Athletic,Special Teams,0.812922227713797,29.2652,36.0,2.7777777777777777,
Illinois,Big Ten,Defensive Back,0.823381968209001,50.2263,61.0,2.7868852459016393,
Illinois,Big Ten,Defensive Line,0.83725205921147,61.1194,73.0,2.9178082191780823,
Illinois,Big Ten,Linebacker,0.826220510861812,32.2226,39.0,2.8974358974358974,
Illinois,Big Ten,Offensive Line,0.831698616345724,59.8823,72.0,2.9027777777777777,
Illinois,Big Ten,Quarterback,0.840111116568247,22.683,27.0,2.925925925925926,
Illinois,Big Ten,Receiver,0.839433335739633,57.9209,69.0,2.971014492753623,
Illinois,Big Ten,Running Back,0.8375583373838,30.1521,36.0,2.9166666666666665,
Illinois,Big Ten,Special Teams,0.815291665494442,19.567,24.0,2.6666666666666665,
Indiana,Big Ten,Defensive Back,0.814941102511262,59.4907,73.0,2.6986301369863015,
Indiana,Big Ten,Defensive Line,0.821339437659358,58.3151,71.0,2.7746478873239435,
Indiana,Big Ten,Linebacker,0.817221059610969,31.0544,38.0,2.736842105263158,
Indiana,Big Ten,Offensive Line,0.815398552279541,56.2625,69.0,2.6956521739130435,
Indiana,Big Ten,Quarterback,0.828856003284454,20.7214,25.0,2.88,
Indiana,Big Ten,Receiver,0.824934154022031,67.6446,82.0,2.8048780487804876,
Indiana,Big Ten,Running Back,0.823700006306171,32.948,40.0,2.8,
Indiana,Big Ten,Special Teams,0.821313796372249,23.8181,29.0,2.586206896551724,
Iowa,Big Ten,Defensive Back,0.82650357910565,46.2842,56.0,2.7857142857142856,
Iowa,Big Ten,Defensive Line,0.846136234808659,58.3834,69.0,3.0144927536231885,
Iowa,Big Ten,Linebacker,0.833444645362241,46.6729,56.0,2.892857142857143,
Iowa,Big Ten,Offensive Line,0.86516271304276,51.0446,59.0,3.254237288135593,
Iowa,Big Ten,Quarterback,0.86075237535295,18.0758,21.0,3.0476190476190474,
Iowa,Big Ten,Receiver,0.842877777795943,53.1013,63.0,2.9682539682539684,
Iowa,Big Ten,Running Back,0.844742860112871,35.4792,42.0,2.9285714285714284,
Iowa,Big Ten,Special Teams,0.843963639302687,27.8508,33.0,3.0606060606060606,
Iowa State,Big 12,Defensive Back,0.818890004356702,49.1334,60.0,2.783333333333333,
Iowa State,Big 12,Defensive Line,0.814972886594675,48.0834,59.0,2.7288135593220337,
Iowa State,Big 12,Linebacker,0.814662269826205,43.1771,53.0,2.6792452830188678,
Iowa State,Big 12,Offensive Line,0.82271111673779,66.6396,81.0,2.802469135802469,
Iowa State,Big 12,Quarterback,0.837978261968364,19.2735,23.0,3.0,
Iowa State,Big 12,Receiver,0.828916666905085,49.735,60.0,2.9,
Iowa State,Big 12,Running Back,0.842851723062581,24.4427,29.0,3.0689655172413794,
Iowa State,Big 12,Special Teams,0.808331820097837,35.5666,44.0,2.6363636363636362,
